department,municipality,community,population,occupied_hh,average_hh,hh_unelectrified,percent_unelectrified,percent_n_poor,percent_poor,percent_v_poor
Matagalpa,Ciudad Dario,Colonia Finalindia,143,36,3.97,0,0.00,63.9,33.3,2.8
Matagalpa,Ciudad Dario,Luz Marina,256,49,5.22,0,0.00,44.9,34.7,20.4
Matagalpa,Ciudad Dario,Belen,336,74,4.54,3,0.04,50,24.3,25.7
Matagalpa,Ciudad Dario,Jerusalen,96,20,4.80,0,0.00,30,35,35
Matagalpa,Ciudad Dario,Jerico,266,57,4.67,2,0.04,43.9,35.1,21.1
Matagalpa,Ciudad Dario,Jose Santos Zelaya,222,52,4.27,2,0.04,55.8,25,19.2
Matagalpa,Ciudad Dario,Getsemani,317,63,5.03,0,0.00,42.9,33.3,23.8
Matagalpa,Ciudad Dario,Revolucion,805,165,4.88,10,0.06,45.6,36.8,17.5
Matagalpa,Ciudad Dario,Metapa,221,43,5.14,1,0.02,51.2,30.2,18.6
Matagalpa,Ciudad Dario,San Francisco,259,52,4.98,0,0.00,66,30.2,3.8
Matagalpa,Ciudad Dario,Guadalupe,644,129,4.99,7,0.05,37.2,31,31.8
Matagalpa,Ciudad Dario,Jose Cuadra,156,33,4.73,7,0.21,3,36.4,60.6
Matagalpa,Ciudad Dario,Santa Lucia,1069,204,5.24,6,0.03,42.4,39.5,18.1
Matagalpa,Ciudad Dario,Nuevo,1167,231,5.05,1,0.00,47.2,39.5,16.3
Matagalpa,Ciudad Dario,Francisco Matamoros o Eden,760,165,4.61,6,0.04,52.3,30.7,17
Matagalpa,Ciudad Dario,Buenos Aires,623,124,5.02,7,0.06,43.2,36.4,20.5
Matagalpa,Ciudad Dario,San Antonio,816,164,4.98,3,0.02,50.3,32.7,17
Matagalpa,Ciudad Dario,Señor de los Milagros,592,132,4.48,3,0.02,43.3,45.4,11.3
Matagalpa,Ciudad Dario,Ruben Dario,564,130,4.34,0,0.00,77,18.5,4.4
Matagalpa,Ciudad Dario,Laborio,598,112,5.34,2,0.02,48.3,29.2,22.5
Matagalpa,Ciudad Dario,El Chilillal,82,15,5.47,6,0.40,5.9,35.3,58.8
Matagalpa,Ciudad Dario,Puerta Al Cielo,97,22,4.41,4,0.18,4.5,4.5,90.9
Matagalpa,Ciudad Dario,San Jose o Blandon,640,126,5.08,3,0.02,34.8,34.1,31.1
Matagalpa,Ciudad Dario,San Pedro,662,124,5.34,2,0.02,44.4,43.6,12
Matagalpa,Ciudad Dario,Carlos Santi,442,81,5.46,4,0.05,39,37.8,23.2
Matagalpa,Ciudad Dario,España,369,80,4.61,1,0.01,41.5,45.1,13.4
Matagalpa,Ciudad Dario,Santa Clara,1048,182,5.76,7,0.04,40.4,33.2,26.4
Matagalpa,Ciudad Dario,El Triunfo,415,90,4.61,5,0.06,41.1,40,18.9
Matagalpa,Ciudad Dario,El Pantanal,185,37,5.00,0,0.00,27.5,27.5,45
Matagalpa,Ciudad Dario,San Luis,528,94,5.62,7,0.07,39,30.5,30.5
Matagalpa,Ciudad Dario,Palos Verdes,1277,268,4.76,155,0.58,41.6,37.3,21.1
Matagalpa,Ciudad Dario,El Jobo,877,183,4.79,93,0.51,41.8,37,21.2
Matagalpa,Ciudad Dario,Apompua,1191,237,5.03,198,0.84,30.9,38.3,30.9
Matagalpa,Ciudad Dario,Maunica,2209,463,4.77,379,0.82,22.7,35.2,42.1
Matagalpa,Ciudad Dario,Dario,124,22,5.64,13,0.59,9.1,40.9,50
Matagalpa,Ciudad Dario,El Regadio,867,178,4.87,125,0.70,29.6,39.7,30.7
Matagalpa,Ciudad Dario,Santa Bárbara,1335,307,4.35,202,0.66,36.7,36.1,27.2
Matagalpa,Ciudad Dario,Las Avellana,606,102,5.94,66,0.65,6.9,19.6,73.5
Matagalpa,Ciudad Dario,Casas Viejas,1599,330,4.85,312,0.95,27.4,41.3,31.3
Matagalpa,Ciudad Dario,Los Cocos,965,170,5.68,160,0.94,19.1,35.3,45.7
Matagalpa,Ciudad Dario,San Juanillo,1093,233,4.69,139,0.60,31.4,44.1,24.6
Matagalpa,Ciudad Dario,Las Calabazas,2860,575,4.97,294,0.51,27.3,37.2,35.5
Matagalpa,Ciudad Dario,Totumbla,696,135,5.16,130,0.96,15.4,38.2,46.3
Matagalpa,Ciudad Dario,Trujillo,1215,204,5.96,176,0.86,36.1,31.8,42.2
Matagalpa,Ciudad Dario,Talpetate,455,85,5.35,85,1.00,1.1,18.2,80.7
Matagalpa,Ciudad Dario,Playas de Moyua,964,193,4.99,132,0.68,30.5,36.9,32.5
Matagalpa,Ciudad Dario,Las Pilas,156,36,4.33,23,0.64,21.6,35.1,43.2
Matagalpa,Ciudad Dario,El Tempisque,232,51,4.55,32,0.63,31.4,43.1,25.5
Matagalpa,Ciudad Dario,El Coyolito,659,152,4.34,112,0.74,28.3,34.2,37.3
Matagalpa,Ciudad Dario,El Cacao de los Suarez,977,227,4.30,144,0.63,37,35.7,27.3
Matagalpa,Ciudad Dario,Llanos de Tamalapa,3115,609,5.11,479,0.79,20.7,38.2,41.1
Matagalpa,Ciudad Dario,Ispagual,3164,620,5.10,517,0.83,22.3,32.8,44.8
Matagalpa,Ciudad Dario,TOTAL,41014,8266,4.96,4065,0.49,33.44876603,35.61823131,31.25661747
Matagalpa,Ciudad Dario,TOTAL RURAL,26636,5380,4.95,3966,0.74,27.19503717,36.27553903,36.90035316
Matagalpa,El Tuma La Dalia,Salida a Waslala,375,66,5.68,18,0.27,22.8,22.8,54.4
Matagalpa,El Tuma La Dalia,15 de Septiembre,203,35,5.80,3,0.09,24.3,27,48.6
Matagalpa,El Tuma La Dalia,Central,534,95,5.62,3,0.03,50.5,23.3,26.2
Matagalpa,El Tuma La Dalia,Linda Vista,1263,255,4.95,33,0.13,32.7,28.4,38.9
Matagalpa,El Tuma La Dalia,San Benito La Ceiba,195,33,5.91,28,0.85,0,12.1,87.9
Matagalpa,El Tuma La Dalia,Las Colinas,602,104,5.79,29,0.28,16.2,27.6,56.2
Matagalpa,El Tuma La Dalia,San Francisco,669,126,5.31,34,0.27,26.2,32.5,41.3
Matagalpa,El Tuma La Dalia,El Recreo,335,61,5.49,23,0.38,26.5,22.1,51.5
Matagalpa,El Tuma La Dalia,19 de Julio,127,29,4.38,6,0.21,31,34.5,34.5
Matagalpa,El Tuma La Dalia,Suizo,351,64,5.48,9,0.14,37.9,24.2,37.9
Matagalpa,El Tuma La Dalia,San Martin,489,89,5.49,55,0.62,12.2,24.4,53.3
Matagalpa,El Tuma La Dalia,San Jose de Wasaka,320,61,5.25,7,0.11,21.5,26.2,52.3
Matagalpa,El Tuma La Dalia,Paz y Reconciliacion,272,53,5.13,2,0.04,44.6,37.5,17.9
Matagalpa,El Tuma La Dalia,El Maestro,114,31,3.68,0,0.00,58.1,35.5,6.5
Matagalpa,El Tuma La Dalia,Che Guevara,76,15,5.07,14,0.93,0,0,100
Matagalpa,El Tuma La Dalia,La Mora,4549,864,5.27,656,0.76,11.6,22.2,66.2
